from,to,type,Ordered Source,Source,Book Order
Jake,Animorphs,MEMBER_OF,,,
Rachel,Animorphs,MEMBER_OF,,,
Marco,Animorphs,MEMBER_OF,,,
Tobias,Animorphs,MEMBER_OF,,,
Jake,Rachel,RELATED_TO,,,
Jake,Golden Retriever,ACQUIRES,1 The Invasion,The Invasion,1
Jake,Green Anole Lizard,ACQUIRES,1 The Invasion,The Invasion,1
Jake,Siberian Tiger,ACQUIRES,1 The Invasion,The Invasion,1
Jake,Peregrine Falcon,ACQUIRES,2 The Visitor,The Visitor,2
Jake,Flea,ACQUIRES,2 The Visitor,The Visitor,2
Jake,Wolf,ACQUIRES,3 The Encounter,The Encounter,3
Jake,Trout,ACQUIRES,3 The Encounter,The Encounter,3
Jake,Bottlenose Dolphin,ACQUIRES,4 The Message,The Message,4
Jake,Seagull,ACQUIRES,4 The Message,The Message,4
Jake,American Lobster,ACQUIRES,5 The Predator,The Predator,5
Jake,Black Garden Ant,ACQUIRES,5 The Predator,The Predator,5
Jake,American Cockroach,ACQUIRES,6 The Capture,The Capture,6
Jake,Housefly,ACQUIRES,6 The Capture,The Capture,6
Jake,Termite,ACQUIRES,9 The Secret,The Secret,9
Jake,Great Horned Owl,ACQUIRES,9 The Secret,The Secret,9
Jake,Skunk,ACQUIRES,9 The Secret,The Secret,9
Jake,Brown Bat,ACQUIRES,10 The Android,The Android,10
Jake,Spider Monkey ,ACQUIRES,11 The Forgotten,The Forgotten,11
Jake,Jaguar,ACQUIRES,11 The Forgotten,The Forgotten,11
Jake,Racehorse,ACQUIRES,14 The Unknown,The Unknown,14
Jake,Parrot (white),ACQUIRES,15 The Escape,The Escape,15
Jake,Hammerhead Shark,ACQUIRES,15 The Escape,The Escape,15
Jake,Rhinoceros,ACQUIRES,16 The Warning,The Warning,16
Jake,Mole,ACQUIRES,17 The Underground,The Underground,17
Jake,Mosquito,ACQUIRES,18 The Decision,The Decision,18
Jake,Leeran,ACQUIRES,18 The Decision,The Decision,18
Jake,Tyrannosaurus Rex ,ACQUIRES,Megamorphs #2 In the Time of Dinosaurs,In the Time of Dinosaurs,Megamorphs #2
Jake,Dragonfly,ACQUIRES,21 The Threat,The Threat,21
Jake,Human (adult male),ACQUIRES,21 The Threat,The Threat,21
Jake,Giant Anteater,ACQUIRES,24 The Suspicion,The Suspicion,24
Jake,Baby Ringed Seal,ACQUIRES,25 The Extreme,The Extreme,25
Jake,Polar Bear (Nanook),ACQUIRES,25 The Extreme,The Extreme,25
Jake,Howler,ACQUIRES,26 The Attack,The Attack,26
Jake,Giant Squid,ACQUIRES,27 The Exposed,The Exposed,27
Jake,Chimpanzee,ACQUIRES,28 The Experiment,The Experiment,28
Jake,Eel,ACQUIRES,29 The Sickness,The Sickness,29
Jake,War Horse ,ACQUIRES,Megamorphs #3 Elfangor's Secret,Elfangor's Secret,Megamorphs #3
Jake,Hork-Bajir,ACQUIRES,34 The Prophecy,The Prophecy,34
Jake,Squirrel,ACQUIRES,35 The Proposal,The Proposal,35
Jake,Cockatiel,ACQUIRES,35 The Proposal,The Proposal,35
Jake,Orca ,ACQUIRES,36 The Mutation,The Mutation,36
Jake,North American Beaver,ACQUIRES,47 The Resistance,The Resistance,47
Jake,Anaconda,ACQUIRES,53 The Answer,The Answer,53
Rachel,African Elephant,ACQUIRES,1 The Invasion,The Invasion,1
Rachel,Bald Eagle,ACQUIRES,2 The Visitor,The Visitor,2
Rachel,Shrew,ACQUIRES,2 The Visitor,The Visitor,2
Rachel,Tomcat,ACQUIRES,2 The Visitor,The Visitor,2
Rachel,Wolf,ACQUIRES,3 The Encounter,The Encounter,3
Rachel,Trout,ACQUIRES,3 The Encounter,The Encounter,3
Rachel,Bottlenose Dolphin,ACQUIRES,4 The Message,The Message,4
Rachel,Seagull,ACQUIRES,4 The Message,The Message,4
Rachel,Black Garden Ant,ACQUIRES,5 The Predator,The Predator,5
Rachel,American Cockroach,ACQUIRES,6 The Capture,The Capture,6
Rachel,Housefly,ACQUIRES,6 The Capture,The Capture,6
Rachel,Great Horned Owl,ACQUIRES,6 The Capture,The Capture,6
Rachel,Grizzly Bear,ACQUIRES,7 The Stranger,The Stranger,7
Rachel,White Rat,ACQUIRES,9 The Secret,The Secret,9
Rachel,Termite,ACQUIRES,9 The Secret,The Secret,9
Rachel,Skunk,ACQUIRES,9 The Secret,The Secret,9
Rachel,Brown Bat,ACQUIRES,10 The Android,The Android,10
Rachel,Crocodile,ACQUIRES,12 The Reaction,The Reaction,12
Rachel,Hork-Bajir,ACQUIRES,13 The Change,The Change,13
Rachel,Racehorse,ACQUIRES,14 The Unknown,The Unknown,14
Rachel,Parrot,ACQUIRES,15 The Escape,The Escape,15
Rachel,Hammerhead Shark,ACQUIRES,15 The Escape,The Escape,15
Rachel,Mole,ACQUIRES,17 The Underground,The Underground,17
Rachel,Mosquito,ACQUIRES,18 The Decision,The Decision,18
Rachel,Deinonychus,ACQUIRES,Megamorphs #2 In the Time of Dinosaurs,In the Time of Dinosaurs,Megamorphs #2
Rachel,Flea,ACQUIRES,21 The Threat,The Threat,21
Rachel,Giant Anteater,ACQUIRES,24 The Suspicion,The Suspicion,24
Rachel,Baby Ringed Seal,ACQUIRES,25 The Extreme,The Extreme,25
Rachel,Polar Bear,ACQUIRES,25 The Extreme,The Extreme,25
Rachel,Sperm Whale,ACQUIRES,27 The Exposed,The Exposed,27
Rachel,Giant Squid,ACQUIRES,27 The Exposed,The Exposed,27
Rachel,Chimpanzee,ACQUIRES,28 The Experiment,The Experiment,28
Rachel,Eel,ACQUIRES,29 The Sickness,The Sickness,29
Rachel,Starfish,ACQUIRES,32 The Separation,The Separation,32
Rachel,Squirrel,ACQUIRES,35 The Proposal,The Proposal,35
Rachel,Cockatiel,ACQUIRES,35 The Proposal,The Proposal,35
Rachel,Orca,ACQUIRES,36 The Mutation,The Mutation,36
Rachel,Cheetah,ACQUIRES,37 The Weakness,The Weakness,37
Rachel,Honeybee,ACQUIRES,40 The Other,The Other,40
Rachel,Human,ACQUIRES,46 The Deception,The Deception,46
Rachel,North American Beaver,ACQUIRES,47 The Resistance,The Resistance,47
Rachel,German Shepherd,ACQUIRES,49 The Diversion,The Diversion,49
Rachel,Dragonfly,ACQUIRES,53 The Answer,The Answer,53
Rachel,Human,ACQUIRES,53 The Answer,The Answer,53
Marco,Silverback Gorilla,ACQUIRES,1 The Invasion,The Invasion,1
Marco,Osprey,ACQUIRES,2 The Visitor,The Visitor,2
Marco,Wolf,ACQUIRES,3 The Encounter,The Encounter,3
Marco,Trout,ACQUIRES,3 The Encounter,The Encounter,3
Marco,Bottlenose Dolphin,ACQUIRES,4 The Message,The Message,4
Marco,Seagull,ACQUIRES,4 The Message,The Message,4
Marco,American Lobster,ACQUIRES,5 The Predator,The Predator,5
Marco,Black Garden Ant,ACQUIRES,5 The Predator,The Predator,5
Marco,American Cockroach,ACQUIRES,6 The Capture,The Capture,6
Marco,Housefly,ACQUIRES,6 The Capture,The Capture,6
Marco,Mouse,ACQUIRES,Megamorphs #1 The Andalite's Gift,The Andalite's Gift,Megamorphs #1
Marco,Termite,ACQUIRES,9 The Secret,The Secret,9
Marco,Great Horned Owl,ACQUIRES,9 The Secret,The Secret,9
Marco,Skunk,ACQUIRES,9 The Secret,The Secret,9
Marco,Irish Setter,ACQUIRES,10 The Android,The Android,10
Marco,Wolf Spider,ACQUIRES,10 The Android,The Android,10
Marco,Brown Bat,ACQUIRES,10 The Android,The Android,10
Marco,Llama,ACQUIRES,12 The Reaction,The Reaction,12
Marco,Racehorse,ACQUIRES,14 The Unknown,The Unknown,14
Marco,Parrot (green),ACQUIRES,15 The Escape,The Escape,15
Marco,Hammerhead Shark,ACQUIRES,15 The Escape,The Escape,15
Marco,Mole,ACQUIRES,17 The Underground,The Underground,17
Marco,Mosquito,ACQUIRES,18 The Decision,The Decision,18
Marco,Leeran,ACQUIRES,18 The Decision,The Decision,18
Marco,Tyrannosaurus Rex,ACQUIRES,Megamorphs #2 In the Time of Dinosaurs,In the Time of Dinosaurs,Megamorphs #2
Marco,Cobra (Spawn),ACQUIRES,20 The Discovery,The Discovery,20
